atributo,pos_teste,cluster_a,cluster_b,estatistica,p_bruto,p_ajustado,significativo,dif_mediana_a_minus_b,n_a,n_b
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),3_1,4_3,0.5678828416782153,0.5701145235351227,0.7179219925997842,False,0.0,109,27
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),3_3,3_4,-0.8929032220651932,0.37190900148708284,0.5214394247653945,False,-56.0,47,4
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),3_3,4_0,1.9666990173856131,0.0492179202502804,0.14551385117474205,False,21.0,47,103
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),3_3,4_1,1.3533531280701379,0.17594284394802917,0.2954102071226169,False,1.0,47,19
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),3_3,4_2,-2.7598988155913062,0.005781926648967301,0.03145368097038211,True,-31.0,47,26
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),3_3,4_3,-0.049757838530773826,0.9603153650169375,0.977687548639518,False,0.0,47,27
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),3_4,4_0,1.591889632369714,0.11140950548781096,0.22281901097562193,False,77.0,4,103
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),3_4,4_1,1.514188980948196,0.129977915616286,0.24796991296510637,False,57.0,4,19
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),3_4,4_2,-0.3900600286960163,0.6964921589061355,0.7893577800936202,False,25.0,4,26
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),3_4,4_3,0.8456163591954591,0.3977667964089574,0.5464271142587698,False,56.0,4,27
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),4_0,4_1,0.08704003650344194,0.9306396883215555,0.9656598453576737,False,-20.0,103,19
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),4_0,4_2,-4.650817121648209,3.3062241890792507e-06,0.00011241162242869453,True,-52.0,103,26
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),4_0,4_3,-1.6567716214137724,0.09756565653746241,0.20466578454448023,False,-21.0,103,27
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),4_1,4_2,-3.4540237358385038,0.0005522887645262802,0.005365090855398151,True,-32.0,19,26
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),4_1,4_3,-1.2688013655393873,0.20451191798583113,0.3351038656153377,False,-1.0,19,27
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),4_2,4_3,2.4112595591694235,0.015897530151881143,0.06005733612932876,False,31.0,26,27
Serum total testosterone (nmol/L),Dunn + FDR(pares),0_0,0_1,0.16466443741303116,0.8692081096509193,0.9476696692451486,False,5.099999999999998,25,89
Serum total testosterone (nmol/L),Dunn + FDR(pares),0_0,0_3,-1.9169923112575646,0.055238908451262794,0.21464261569633544,False,-4.149999999999999,25,20
Serum total testosterone (nmol/L),Dunn + FDR(pares),0_0,1_1,-0.6896018943975473,0.49044457573888567,0.7940531226248625,False,0.0,25,69
Serum total testosterone (nmol/L),Dunn + FDR(pares),0_0,1_3,-0.2730576081986503,0.7848089325596528,0.9455099526328914,False,3.599999999999998,25,125
Serum total testosterone (nmol/L),Dunn + FDR(pares),0_0,1_4,-0.27201883866534,0.7856075341729172,0.9455099526328914,False,3.599999999999998,25,36
Serum total testosterone (nmol/L),Dunn + FDR(pares),0_0,2_1,-0.5949185135440694,0.5518979413724023,0.8339791114071857,False,1.799999999999999,25,28
Serum total testosterone (nmol/L),Dunn + FDR(pares),0_0,2_3,-0.7109807837715685,0.47709614380060494,0.7912814092302717,False,0.5,25,16
Serum total testosterone (nmol/L),Dunn + FDR(pares),0_0,2_4,0.11049691624793857,0.9120152953731916,0.9615044974477059,False,3.599999999999998,25,52
Serum total testosterone (nmol/L),Dunn + FDR(pares),0_0,3_0,-0.8113328224287512,0.41717456589272184,0.7666992021812186,False,0.0,25,11
Serum total testosterone (nmol/L),Dunn + FDR(pares),0_0,3_1,-2.8152408999081184,0.0048740682338299325,0.03899254587063946,True,-2.0,25,109
Serum total testosterone (nmol/L),Dunn + FDR(pares),0_0,3_3,-3.5017023200001853,0.0004622958228305441,0.005715657445904908,True,-8.700000000000003,25,47
Serum total testosterone (nmol/L),Dunn + FDR(pares),0_0,3_4,-0.8512684952857267,0.3946202214676331,0.755892255205607,False,-4.700000000000003,25,4
Serum total testosterone (nmol/L),Dunn + FDR(pares),0_0,4_0,-2.4864404883676827,0.012902814814468151,0.07624615890955873,False,-0.8000000000000007,25,103
Serum total testosterone (nmol/L),Dunn + FDR(pares),0_0,4_1,-1.9297332489512264,0.05363989801167324,0.21455959204669295,False,-0.8000000000000007,25,19
Serum total testosterone (nmol/L),Dunn + FDR(pares),0_0,4_2,-0.18911665963879504,0.8500013845870891,0.9476696692451486,False,-1.3999999999999986,25,26
Serum total testosterone (nmol/L),Dunn + FDR(pares),0_0,4_3,-1.8708300198738288,0.061368645220176016,0.2318371041651094,False,-0.8000000000000007,25,27
Serum total testosterone (nmol/L),Dunn + FDR(pares),0_1,0_3,-2.4746325279291597,0.013337332695052674,0.07624615890955873,False,-9.249999999999996,89,20
Serum total testosterone (nmol/L),Dunn + FDR(pares),0_1,1_1,-1.2359648100587786,0.21647164442934996,0.5352753389525744,False,-5.099999999999998,89,69
